asin,title,imgUrl,productURL,stars,reviews,price,listPrice,categoryName,isBestSeller,boughtInLastMonth,mainCategory,discount_amount,discount_percent
B091KFT7WN,Magic Pants Hangers Space Saving - 2 Pack for Closet Multiple Layers Multifunctional Uses Rack Organizer for Trousers Scarves Slack ( 2 Pack with 10 Metal Clips ),https://m.media-amazon.com/images/I/81GATH3W7fS._AC_UY218_.jpg,https://www.amazon.ca/dp/B091KFT7WN,4.3,10633,25.99,39.99,Home Storage  Organization,True,3000,Home & Garden,14.000000000000004,35.00875218804702
B0973DGD8P,"20 Pack Vacuum Storage Bags, Space Saver Bags (4 Jumbo/4 Large/4 Medium/4 Small/4 Roll) Compression Storage Bags for Comforters and Blankets, Vacuum Sealer Bags for Clothes Storage, Hand Pump Included",https://m.media-amazon.com/images/I/81JmVgvOmCL._AC_UY218_.jpg,https://www.amazon.ca/dp/B0973DGD8P,4.2,46037,39.99,45.99,Home Storage  Organization,True,2000,Home & Garden,6.0,13.04631441617743
B0877QFYDK,"Royale Original 2 Ply Facial Tissue, Soft & Strong, 6 Tissue Boxes, 126 Tissues Per Box",https://m.media-amazon.com/images/I/717vs7L9-yL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0877QFYDK,4.7,2753,7.97,8.99,Janitorial  Sanitation Supplies,True,10000,Home & Kitchen,1.0200000000000005,11.345939933259181
B07JGF236Q,"NINJA AF101C, Air Fryer, 3.8L Less Oil Electric Air Frying, Equipped with Crisper Plate + Multi-Layer Rack + Non Stick Basket, Programmable Control Panel, Black, 1550W, (Canadian Version)",https://m.media-amazon.com/images/I/41u3rtFghaL._AC_UY218_.jpg,https://www.amazon.ca/dp/B07JGF236Q,4.7,11278,99.98,139.99,Home  Kitchen,True,10000,Home & Kitchen,40.010000000000005,28.580612900921494
B0764HS4SL,Vegetable Chopper Vegetable Cutter Spiralizer Vegetable Slicer - Food Onion Veggie Chopper Dicer Potato Fry Cutter (4-in-1 Chopper - White),https://m.media-amazon.com/images/I/81m5GFr6aeL._AC_UY218_.jpg,https://www.amazon.ca/dp/B0764HS4SL,4.4,93495,36.99,51.65,Kitchen Utensils  Gadgets,True,8000,Home & Kitchen,14.659999999999997,28.383349467570177
B07TK43RS3,Vileda EasyWring Mop Head Refill (Pack of 2),https://m.media-amazon.com/images/I/71WJwtXTVJL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07TK43RS3,4.7,4714,12.98,15.99,Household Cleaning Tools,True,8000,Home & Kitchen,3.01,18.82426516572858
B0035G078Q,"Swiffer WetJet Multi-Purpose Floor Cleaner Solution with Febreze Refill, Lavender Vanilla and Comfort Scent, 1.25 L, 2 count",https://m.media-amazon.com/images/I/81DXjknuaYL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0035G078Q,4.8,60842,8.39,13.99,Household Cleaning,True,7000,Home & Kitchen,5.6,40.028591851322375
B09H6V5GWB,"Semlos LED Desk Lamp, Eye-Caring Table Lamps, 5 Lighting Modes & 5 Brightness Levels, 45 Min Auto Timer, Touch Control, Dimmable Desk Light for Home, Office, Reading, White",https://m.media-amazon.com/images/I/61MMoOr4s2L._AC_UL320_.jpg,https://www.amazon.ca/dp/B09H6V5GWB,4.3,3690,18.63,23.99,Office Products,True,2000,Party & Sationery & Office Supply,5.359999999999999,22.342642767819928
B0BLMCWW4V,GERTTRONY Ergonomic Office Chair Chaise Task with Lumbar Support Mesh Computer Flip up Armrests Swivel Executive Desk for Home Conference Room (Black/Black),https://m.media-amazon.com/images/I/51bB+8xR-jL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BLMCWW4V,4.1,734,98.95,199.99,Office Products,True,1000,Party & Sationery & Office Supply,101.04,50.52252612630631
B07GH7WGC3,"BOSOBO Paint Brushes Set, 2 Pack 20 Pcs Round Pointed Tip Paintbrushes Nylon Hair Artist Acrylic Paint Brushes for Acrylic Oil Watercolor, Face Nail Art, Miniature Detailing and Rock Painting, Blue",https://m.media-amazon.com/images/I/81ON4-sLO0L._AC_UL320_.jpg,https://www.amazon.ca/dp/B07GH7WGC3,4.5,51891,9.59,17.41,Office Products,True,1000,Party & Sationery & Office Supply,7.82,44.91671453187823
